Announcement_Date,Company_Name,Title,Company_link,Ann_link,Company_Code
04 Oct 2019,MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0826EA,/market/listed-companies/company-announcements/6302865,0826EA
04 Oct 2019,MYETF MSCI SEA ISLAMIC DIVIDEND,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0825EA,/market/listed-companies/company-announcements/6302861,0825EA
04 Oct 2019,TRADEPLUS SHARIAH GOLD TRACKER,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0828EA,/market/listed-companies/company-announcements/6302857,0828EA
04 Oct 2019,IGB BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - TAN BOON SENG,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5606,/market/listed-companies/company-announcements/6302849,5606
04 Oct 2019,IGB BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - WANG TAK COMPANY LIMITED,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5606,/market/listed-companies/company-announcements/6302853,5606
04 Oct 2019,IGB BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - LEE HING DEVELOPMENT LIMITED,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5606,/market/listed-companies/company-announcements/6302845,5606
04 Oct 2019,GETS GLOBAL BERHAD,MATERIAL LITIGATION,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5079,/market/listed-companies/company-announcements/6302841,5079
04 Oct 2019,TECHNODEX BHD,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0132,/market/listed-companies/company-announcements/6302829,0132
04 Oct 2019,HUME INDUSTRIES BERHAD,OTHERS,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5000,/market/listed-companies/company-announcements/6302833,5000
04 Oct 2019,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5401,/market/listed-companies/company-announcements/6302837,5401
04 Oct 2019,TROPICANA CORPORATION BERHAD,Immediate Announcement of Changes in Treasury Shares,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5401,/market/listed-companies/company-announcements/6302825,5401
04 Oct 2019,MALAYSIAN PACIFIC INDUSTRIES BERHAD,OTHERS,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3867,/market/listed-companies/company-announcements/6302817,3867
04 Oct 2019,HONG LEONG INDUSTRIES BERHAD,OTHERS,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3301,/market/listed-companies/company-announcements/6302821,3301
04 Oct 2019,MYETF MSCI MALAYSIA ISLAMIC DIVIDEND,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0824EA,/market/listed-companies/company-announcements/6302813,0824EA
04 Oct 2019,LONDON BISCUITS BERHAD,MATERIAL LITIGATION,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7126,/market/listed-companies/company-announcements/6302809,7126
04 Oct 2019,IDIMENSION CONSOLIDATED BHD,MATERIAL LITIGATION,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0174,/market/listed-companies/company-announcements/6302801,0174
04 Oct 2019,IDIMENSION CONSOLIDATED BHD,MATERIAL LITIGATION,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0174,/market/listed-companies/company-announcements/6302805,0174
04 Oct 2019,MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0821EA,/market/listed-companies/company-announcements/6302797,0821EA
04 Oct 2019,SMRT HOLDINGS BERHAD,OTHERS,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0117,/market/listed-companies/company-announcements/6302793,0117
04 Oct 2019,ANALABS RESOURCES BERHAD,General Meetings: Outcome of Meeting,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7083,/market/listed-companies/company-announcements/6302789,7083
04 Oct 2019,CIMB FTSE CHINA 50,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0823EA,/market/listed-companies/company-announcements/6302785,0823EA
04 Oct 2019,CIMB FTSE ASEAN 40 MALAYSIA,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0822EA,/market/listed-companies/company-announcements/6302781,0822EA
04 Oct 2019,TEXCHEM RESOURCES BERHAD,Immediate Announcement on Shares Buy Back,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8702,/market/listed-companies/company-announcements/6302777,8702
04 Oct 2019,FOCUS DYNAMICS GROUP BERHAD,"Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - CREDIT SUISSE AG, DUBLIN BRANCH",/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0116,/market/listed-companies/company-announcements/6302773,0116
04 Oct 2019,FOCUS DYNAMICS GROUP BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - CREDIT SUISSE GROUP AG,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0116,/market/listed-companies/company-announcements/6302769,0116
04 Oct 2019,TEXCHEM RESOURCES BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - TEXCHEM HOLDINGS SDN. BHD.,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8702,/market/listed-companies/company-announcements/6302765,8702
04 Oct 2019,TEXCHEM RESOURCES BERHAD,Changes in Director's Interest (Section 219 of CA 2016) - TAN SRI DATO' SERI (DR.) FUMIHIKO KONISHI,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8702,/market/listed-companies/company-announcements/6302761,8702
04 Oct 2019,TEXCHEM RESOURCES BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - TAN SRI DATO' SERI (DR.) FUMIHIKO KONISHI,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8702,/market/listed-companies/company-announcements/6302757,8702
04 Oct 2019,TEXCHEM RESOURCES BERHAD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - TEXCHEM CORPORATION SDN. BHD.,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8702,/market/listed-companies/company-announcements/6302753,8702
04 Oct 2019,MBM RESOURCES BHD,Changes in Sub. S-hldr's Int (Section 138 of CA 2016) - EMPLOYEES PROVIDENT FUND BOARD,/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5983,/market/listed-companies/company-announcements/6302749,5983
